store,count,mean,std
AAFES,275,104.51,201.72
AAFES-CYBER-MONDAY,93,497.54,997.82
AAFES-SATURDAY-SALE,100,173.0,310.59
AAFES-THANKSGIVING,39,313.63,487.28
ABT-ELECTRONICS,82,633.59,531.11
AC-MOORE,139,13.25,15.28
ACADEMY-SPORTS,410,92.19,127.84
ACE-HARDWARE,117,62.3,126.05
AEROPOSTALE,11,11.51,4.03
AEROPOSTALE-CYBER-MONDAY,11,9.72,3.02
AT-HOME,38,24.17,21.78
BASS-PRO-SHOPS,419,205.11,906.01
BEALLS,262,21.09,15.16
BED-BATH-AND-BEYOND,15,100.34,110.22
BELK,519,62.71,171.38
BEST-BUY,636,190.94,352.6
BIG-LOTS-THANKSGIVING,150,147.25,175.81
BJS-WHOLESALE,273,295.29,535.99
BONTON,907,54.9,173.21
BOSCOVS,807,26.41,50.87
BURLINGTON-COAT-FACTORY,52,13.59,11.24
CABELAS,231,186.33,302.93
CHRISTMAS-TREE-SHOPS,55,44.29,59.97
COSTCO,46,700.99,1770.17
CRAFT-WAREHOUSE,100,24.65,35.49
CVS,59,7.33,7.13
DELL-HOME,66,338.4,305.33
DELL-HOME-CYBER-MONDAY,60,456.72,499.1
DELL-SMALL-BUSINESS,16,318.06,190.19
DICKS-SPORTING-GOODS,202,195.85,308.38
DOLLAR-GENERAL,34,17.67,16.0
DUNHAMS-SPORTS,481,114.74,174.72
EBAY,76,281.99,475.91
EBAY-CYBER-MONDAY,60,259.98,351.75
EXPRESS,38,88.41,69.64
FAMILY-DOLLAR,73,6.88,6.6
FARM-AND-FLEET,556,65.81,111.05
FARM-HOME-SUPPLY,151,54.14,102.98
FIELD-STREAM,96,214.88,275.8
FIOS-BY-VERIZON,12,96.66,40.69
FIVE-BELOW,56,4.5,0.97
FREDMEYER,199,74.14,130.62
FREDS,36,34.23,41.6
FRYS-ELECTRONICS,535,220.53,430.48
FRYS-ELECTRONICS-THANKSGIVING,293,190.72,370.31
GAMESTOP,325,35.99,56.74
GOLF-GALAXY,29,111.43,102.86
GROUPON,163,84.42,270.56
GUITAR-CENTER,84,240.75,373.02
HALF-PRICE-BOOKS,135,12.76,12.61
HARBOR-FREIGHT,81,80.71,116.98
HEB,132,31.19,64.3
HOME-DEPOT,400,199.09,371.14
HP,61,679.87,488.58
JCPENNEY,948,139.9,343.69
JCPENNEY-CYBER-MONDAY,63,32.0,41.87
JETCOM,15,180.8,199.22
JOANN-FABRICS,41,78.12,115.6
KMART,57,22.64,68.92
KOHLS,876,54.91,125.06
LENOVO,14,696.56,329.03
LIVING-SOCIAL,3,31.66,20.82
LOWES,415,252.58,395.99
MACYS,735,319.51,594.6
MEIJER,129,43.7,105.68
MEIJER-SATURDAY-SALE,44,29.54,52.47
MEIJER-THANKSGIVING,256,48.56,87.36
MENARDS,417,17.87,43.62
MICHAELS,88,30.66,54.55
MICROSOFT-STORE,19,284.73,286.23
MILLS-FLEET-FARM,420,49.13,84.06
MODELLS,139,19.23,14.76
MUSIC-AND-ARTS,11,111.9,161.89
NAVY-EXCHANGE,541,129.14,242.18
NEWEGG,237,264.25,318.82
NIKON,31,1535.27,1326.7
NORTHERN-TOOL,145,106.25,217.55
NYANDCOMPANY,74,18.11,12.04
OFF-BROADWAY-SHOES,9,66.1,12.44
OFFICE-DEPOT,207,158.37,248.16
OLD-NAVY,1,1.0,
OLYMPIA-SPORTS,7,42.13,23.25
OVERSTOCK,111,133.87,147.75
PAYLESS-SHOES,97,15.25,3.62
PC-RICHARD-SON,201,652.51,1702.07
PEPBOYS,49,34.92,32.51
PET-SMART,27,27.18,34.08
PET-SUPPLIES-PLUS,26,17.8,18.77
PETCO,7,32.7,32.15
QUILL-CYBER-MONDAY,33,118.8,130.53
RITE-AID,51,5.06,9.04
RURAL-KING,365,65.51,120.68
SAM-ASH,99,214.61,294.62
SAMS-CLUB,72,258.43,358.49
SEARS,481,271.03,397.34
SEARS-HOMETOWN,210,323.23,396.31
SEARS-OUTLET,89,136.12,205.42
SHOPKO,641,41.75,81.23
SPORTSMANS-WAREHOUSE,116,165.45,355.93
STAGE,284,19.82,17.14
STAPLES,234,141.84,211.78
STEIN-MART,111,28.14,27.44
TARGET,407,51.57,94.98
TIGER-DIRECT,24,228.62,241.05
TOYS-R-US,293,45.17,53.38
TRACTOR-SUPPLY,126,132.71,209.43
TRUE-VALUE,100,32.35,48.11
ULTA,53,15.02,12.35
VALUE-CITY,125,743.96,570.57
VICTORIAS-SECRET,12,25.0,12.08
WALGREENS,108,27.53,80.66
WALMART,717,33.43,72.53
WEST-MARINE,64,170.62,249.99
WORLD-MARKET,7,8.25,4.94
