store,count,mean,std
AAFES,293,94.31,254.64
AAFES-SATURDAY-SALE,134,264.26,508.98
AC-MOORE,159,11.93,17.13
ACADEMY-SPORTS,471,53.18,94.38
ACE-HARDWARE,83,23.7,26.85
AMAZON,27,185.89,320.09
ANNAS-LINENS,95,13.52,12.01
ASHLEY-FURNITURE,1,799.99,
BASS-PRO-SHOPS,326,204.49,437.24
BATH-AND-BODY-WORKS,5,10.4,0.89
BEALLS,270,21.68,18.83
BEALLS-TEXAS,279,19.09,13.31
BED-BATH-AND-BEYOND,11,332.76,92.25
BELK,653,54.1,108.61
BEST-BUY,384,158.79,281.07
BIG-5-SPORTING-GOODS,337,51.14,86.84
BIG-LOTS,166,76.56,115.75
BIG-LOTS-THANKSGIVING,36,115.1,159.95
BJS-WHOLESALE,122,444.92,927.04
BONTON,650,53.56,106.02
BUILD-A-BEAR,1,6.0,
CABELAS,222,179.2,211.41
CAMPMOR,71,68.62,64.68
CHRISTMAS-TREE-SHOPS,49,36.66,48.67
COSTCO,54,242.6,290.17
CRAFT-WAREHOUSE,107,57.31,148.62
CVS,36,8.74,7.09
DELL-HOME,24,352.78,272.19
DICKS-SPORTING-GOODS,270,133.64,142.99
DOLLAR-GENERAL,64,9.91,10.85
DUNHAMS-SPORTS,485,109.61,154.21
EBAY,8,444.87,817.29
FARM-AND-FLEET,81,32.59,37.28
FIVE-BELOW,84,4.52,1.35
FREDMEYER,303,46.22,82.38
FREDS,52,18.47,17.97
FRYS-ELECTRONICS,80,189.43,299.77
GAMESTOP,267,48.09,59.55
GANDER-MOUNTAIN,408,98.21,192.72
GORDMANS,190,15.15,14.48
HARBOR-FREIGHT,38,53.13,47.37
HASTINGS,729,19.63,28.61
HAVERTYS,17,989.64,665.33
HEB-PLUS,124,34.18,73.98
HHGREGG,193,494.22,707.46
HOME-DEPOT,297,195.32,355.95
JCPENNEY,597,73.95,221.45
JOANN-FABRICS,32,47.71,53.17
JUST-CABINETS,119,397.04,358.93
KMART,1052,46.27,81.22
KMART-THANKSGIVING,175,49.27,80.43
KOHLS,778,50.33,128.95
LA-Z-BOY,22,606.86,380.22
LANDS-END,22,16.32,8.91
LORD-AND-TAYLOR,7,74.42,42.66
LOWES,270,199.28,440.98
MACYS,702,108.9,300.49
MACYS-THANKSGIVING,350,255.66,509.68
MEIJER,359,22.99,42.47
MEIJER-THANKSGIVING,292,37.14,71.49
MENARDS,227,19.62,38.7
MICHAELS,47,21.15,41.1
MICROSOFT-STORE,16,106.68,127.88
MILLS-FLEET-FARM,317,34.73,60.79
MODELLS,56,32.25,19.88
NAVY-EXCHANGE,161,237.84,689.85
NEWEGG,6,409.99,348.14
NORTHERN-TOOL,150,92.69,268.56
NYANDCOMPANY,11,17.99,9.41
OFFICE-DEPOT,135,113.62,130.81
OFFICE-MAX,159,116.8,120.84
OLD-NAVY,23,14.05,6.22
OLYMPIA-SPORTS,60,65.19,36.5
ORIGINS,19,37.89,14.54
OVERSTOCK,94,116.76,119.24
PEPBOYS,49,70.81,91.17
PET-SMART,47,29.94,30.38
RADIOSHACK,300,57.08,76.29
RAKUTEN,19,287.04,282.6
RITE-AID,72,9.73,17.41
SAMS-CLUB,77,198.77,334.52
SEARS,1174,228.53,429.77
SEARS-HOMETOWN,57,579.31,563.46
SEARS-OUTLET,86,131.85,250.18
SHOE-CARNIVAL,49,33.76,15.7
SHOPKO,856,34.89,67.77
SPORTS-AUTHORITY,214,133.63,156.12
SPORTSMANS-WAREHOUSE,101,112.55,175.17
SPRINT,8,96.24,54.23
STAGE,314,18.71,12.63
STAPLES,145,120.49,141.85
STEIN-MART,39,21.74,22.55
TARGET,393,42.4,81.22
THINGS-REMEMBERED,87,23.78,17.52
TIGER-DIRECT,260,177.06,282.3
TOYS-R-US,437,35.06,53.46
TRACTOR-SUPPLY,32,127.08,144.75
TRUE-VALUE,50,19.47,18.01
ULTA,53,19.24,21.95
VERIZON,14,101.78,80.16
WALGREENS,239,13.5,34.48
WALMART,861,36.74,76.93
