store,count,mean,std
AAFES,310,69.09,124.79
AAFES-SATURDAY-SALE,113,104.66,212.51
AAFES-THANKSGIVING,55,126.44,261.26
ABT-ELECTRONICS,94,551.17,569.8
AC-MOORE,139,12.04,12.07
ACADEMY-SPORTS,378,62.37,84.52
ACE-HARDWARE,102,32.21,46.22
ADORAMA,48,346.07,372.99
ANNAS-LINENS,59,11.46,9.41
APPLE-STORE,25,573.59,582.32
BASS-PRO-SHOPS,339,211.86,961.46
BEALLS,383,30.57,27.62
BED-BATH-AND-BEYOND,4,324.99,170.78
BELK,619,48.06,93.3
BEST-BUY,392,147.71,286.37
BIG-5-SPORTING-GOODS,403,56.98,97.37
BIG-LOTS,146,82.54,130.34
BJS-WHOLESALE,130,301.81,396.88
BURLINGTON-COAT-FACTORY,17,19.76,13.94
CABELAS,209,205.78,479.55
CAMPMOR,87,59.64,60.29
CHRISTMAS-TREE-SHOPS,50,37.23,51.56
CRAFT-WAREHOUSE,120,11.18,20.56
CVS,8,3.36,2.11
DELL-HOME,28,285.58,237.11
DICKS-SPORTING-GOODS,255,132.13,146.53
DOLLAR-GENERAL,93,10.54,10.74
DUNHAMS-SPORTS,451,118.85,167.25
EBAY,37,758.56,3177.1
EBAY-THANKSGIVING,21,230.18,248.49
FAMILY-DOLLAR,25,3.48,2.58
FARM-AND-FLEET,107,34.96,46.7
FIVE-BELOW,86,4.76,0.7
FREDMEYER,339,44.81,91.98
FREDMEYER-THANKSGIVING,70,51.57,96.25
FREDS,10,26.41,18.5
FRYS-ELECTRONICS,200,124.74,264.43
GAMESTOP,330,45.7,56.09
GANDER-MOUNTAIN,361,110.53,207.67
GORDMANS,92,23.06,32.28
GUITAR-CENTER,51,160.95,198.8
HARBOR-FREIGHT,40,66.53,100.96
HASTINGS,752,20.66,38.81
HEB,77,42.89,86.57
HHGREGG,222,393.91,460.19
HOME-DEPOT,312,211.33,398.36
IKEA,20,170.84,620.95
JCPENNEY,908,66.5,187.78
JOANN-FABRICS,5,59.11,96.49
JOS-A-BANK,25,106.48,74.21
KMART,894,44.17,71.14
KMART-THANKSGIVING,190,38.83,58.43
KOHLS,858,47.89,121.81
LIVING-SOCIAL,18,65.61,106.81
LOWES,361,296.81,456.12
MACMALL,434,728.26,1207.66
MACYS,885,151.31,381.58
MACYS-THANKSGIVING,386,295.48,582.46
MC-SPORTS,270,135.37,165.19
MEIJER,365,29.45,54.52
MEIJER-SATURDAY-SALE,83,30.17,41.96
MEIJER-THANKSGIVING,249,38.07,83.13
MENARDS,375,18.26,48.5
MICHAELS,52,23.82,42.92
MICRO-CENTER,2604,236.62,3276.76
MICROSOFT-STORE,29,184.3,378.31
MILLS-FLEET-FARM,453,41.48,67.79
MODELLS,66,25.68,18.78
MONOPRICE,37,93.61,171.9
MUSIC-AND-ARTS,13,106.99,96.38
MUSICIANS-FRIEND,52,128.95,131.48
NAVY-EXCHANGE,145,125.3,209.49
NEWEGG,94,188.0,214.42
NORTHERN-TOOL,165,68.76,111.11
NYANDCOMPANY,23,43.38,45.21
OFFICE-DEPOT,128,103.69,118.56
OLD-NAVY,47,13.76,8.15
OLYMPIA-SPORTS,36,58.27,33.1
OVERSTOCK,99,90.7,113.51
PANASONIC,60,590.29,1269.78
PAYLESS-SHOES,7,11.99,3.42
PC-RICHARD-SON,167,566.81,709.94
PEPBOYS,29,67.69,65.54
PET-SMART,30,18.75,24.13
PETCO,35,24.53,23.49
PIER-1,7,95.71,134.69
RADIOSHACK,173,63.52,82.58
REEDS-JEWELERS,44,447.45,801.47
REI,3,93.32,70.24
RITE-AID,73,9.2,13.77
RURAL-KING,296,53.93,92.22
SAMS-CLUB,117,186.36,272.04
SAMS-CLUB-HOLIDAY-SAVINGS-CELEBRATION-FEATURED-SALE,87,100.88,174.6
SEARS,691,226.83,394.45
SEARS-BLACK-FRIDAY-FURNITURE-FEATURED-SALE,52,965.2,365.25
SEARS-HARDWARE-AND-APPLIANCE-BLACK-FRIDAY-FEATURED-SALE,325,306.35,413.24
SEARS-HOMETOWN,271,366.49,438.04
SEARS-OUTLET,99,167.67,260.81
SHOE-CARNIVAL,45,33.29,17.33
SHOPKO,1059,29.94,50.18
SIERRA-TRADING-POST,122,49.01,28.89
SPORTS-AUTHORITY,242,163.53,219.42
SPORTSMANS-WAREHOUSE,112,116.19,174.69
STAGE,286,21.92,14.77
STAPLES,169,96.25,116.37
STEIN-MART,44,20.71,20.17
TARGET,365,48.08,91.16
TARGET-ONLINE-BLACK-FRIDAY,14,120.5,152.57
THINGS-REMEMBERED,66,27.45,31.38
TIGER-DIRECT,156,209.57,320.42
TILLYS,4,54.99,54.47
TMOBILE,30,124.23,68.51
TOYS-R-US,310,38.98,70.03
TRACTOR-SUPPLY,113,124.87,200.38
TRUE-VALUE,78,28.01,28.34
ULTA,67,13.01,16.12
VALUE-CITY,137,718.38,712.51
VENUM,71,46.31,53.59
VERIZON,15,84.66,56.3
VICTORIAS-SECRET,12,28.83,8.39
WALGREENS,270,13.94,18.25
WALMART,755,43.01,99.48
WALMART-2014-11-20-FEATURED-SALE,114,73.03,130.87
WALMART-THANKSGIVING,130,53.72,81.53
WORLD-MARKET,12,83.82,150.6
YANKEE-CANDLE,4,10.0,0.0
