store,count,mean,std
AAFES,328,65.31,134.8
AC-MOORE,127,13.63,20.94
ACE-HARDWARE,92,20.95,23.46
AEROPOSTALE,4,16.0,4.62
ANNAS-LINENS,75,13.61,14.11
BASS-PRO-SHOPS,347,183.89,551.18
BEALLS,313,22.01,19.53
BED-BATH-AND-BEYOND,13,326.22,82.18
BELK,407,54.73,132.01
BEST-BUY,264,168.88,293.29
BIG-5-SPORTING-GOODS,356,46.15,69.01
BIG-LOTS,102,62.64,107.41
BJS-WHOLESALE,93,242.03,273.01
BONTON,555,48.51,76.72
BUILD-A-BEAR,2,5.0,0.0
CABELAS,258,131.82,198.64
CAMPMOR,196,58.34,61.85
CHRISTMAS-TREE-SHOPS,52,27.72,44.75
COSTCO,50,240.84,369.38
CVS,35,18.97,22.1
DELL-BLACK-FRIDAY,20,351.14,252.36
DICKS-SPORTING-GOODS,251,139.88,146.91
DUNHAMS-SPORTS,134,84.36,128.35
FREDMEYER,195,51.14,100.47
FREDS,87,17.14,18.21
FRYS-ELECTRONICS,67,128.32,145.23
GAMESTOP-BLACK-FRIDAY-2012,175,54.49,67.13
GANDER-MOUNTAIN,319,118.88,189.36
GORDMANS,144,13.7,13.2
HARBOR-FREIGHT,33,49.95,44.58
HASTINGS,226,30.34,46.29
HHGREGG,167,424.54,437.54
IKEA,10,13.19,10.57
JCPENNEY,212,53.47,168.12
JOANN-FABRICS,63,53.47,101.37
JOS-A-BANK,16,85.68,62.57
KMART,642,42.83,73.55
KMART-THANKSGIVING,265,43.72,81.16
KOHLS,864,58.56,161.1
KOHLS-SATURDAY,49,58.39,87.31
LANDS-END,23,20.22,13.42
LOWES-BLACK-FRIDAY,178,206.35,396.12
MACMALL,108,361.29,586.34
MACYS,634,97.4,215.48
MACYS-THANKSGIVING,393,265.98,475.42
MEIJER,289,32.38,59.32
MEIJER-SATURDAY-2012,55,50.36,84.7
MEIJER-THANKSGIVING-2012,215,41.68,90.22
MENARDS,295,26.56,71.5
MICHAELS,41,22.34,33.54
MODELLS,88,22.27,18.91
MUSIC-ARTS,15,97.32,91.19
NAVY-EXCHANGE,103,233.52,750.01
NORTHERN-TOOL,161,62.29,103.09
NYANDCOMPANY,6,25.99,16.91
OFFICE-DEPOT,124,102.53,121.09
OFFICE-MAX,137,116.03,134.71
OLD-NAVY,73,10.74,4.91
OLYMPIA-SPORTS,107,55.33,31.29
OVERSTOCK,67,76.23,85.82
PEPBOYS,59,72.69,95.62
PET-SMART,11,37.12,34.73
PETCO,52,24.68,23.85
RADIOSHACK,153,57.3,79.16
RITE-AID,90,11.39,12.73
SAMS-CLUB,57,211.3,269.95
SEARS-BLACK-FRIDAY,467,197.99,359.47
SEARS-CYBER-MONDAY,22,239.58,232.46
SEARS-HOME-APPLIANCE-SHOWROOM,55,772.67,590.43
SEARS-HOMETOWN-STORE,266,369.65,484.5
SEARS-OUTLET-2012,89,132.69,196.26
SEARS-THANKSGIVING,273,158.41,330.97
SHOPKO,579,44.79,100.76
SIERRA-TRADING-POST,29,74.88,98.71
SPORTS-AUTHORITY,261,158.31,222.18
SPORTSMANS-WAREHOUSE,92,111.83,163.18
STAPLES,143,114.08,149.7
STEIN-MART,44,23.12,23.83
TARGET,283,40.9,85.22
TIGER-DIRECT,204,169.08,268.14
TILLYS,2,14.99,7.07
TOYS-R-US,490,30.67,50.74
TRACTOR-SUPPLY,87,154.8,271.73
TRUE-VALUE,53,21.55,21.88
WALGREENS,106,23.21,72.97
WALMART,677,48.24,117.33
