Year,Store,Category,SubCategory,Item,Price
2011,AAFES,Apparel,,Alpha Boys' MA-1 Intermediate Flight Jacket (Online Only),29.95
2011,AAFES,Apparel,,Asics GT-2160 Running Shoe (Men's & Women's) (Online Only),60.0
2011,AAFES,Apparel,,Cali Cool Ladies' Fashion Leather Boots,19.0
2011,AAFES,Apparel,,Cali Cool Toddler Girls' Classic Microfiber Boots,12.0
2011,AAFES,Apparel,,Cali Cool Youth Girls' Clasic Suede Boots,15.0
2011,AAFES,Apparel,,CiCi Girls Girls' Bra (4 Bras for $10),10.0
2011,AAFES,Apparel,,Conair Men's or Ladies' Massage Slippers,12.99
2011,AAFES,Apparel,,Decoded Juniors' and Ladies' Coats or Jackets,19.0
2011,AAFES,Apparel,,Decoded Juniors' Faux Mink Vest,15.0
2011,AAFES,Apparel,,Dockers Men's Scarf and Hat Set,15.0
2011,AAFES,Apparel,,Drift Away Misses' Sleep Pants,9.0
2011,AAFES,Apparel,,Drift Away Misses' Sleep Tank,7.0
2011,AAFES,Apparel,,Drift Away Women's Sleep Shirt,9.0
2011,AAFES,Apparel,,Drift Away Women's Sleep Shirt (1X-3X),12.0
2011,AAFES,Apparel,,Haggar Boxed Dress Shirts,19.0
2011,AAFES,Apparel,,Junction West Men's Long Sleeve Pique Polor or Henley (Assorted Colors),9.99
2011,AAFES,Apparel,,JW Style Ladies' Ruffle Front or Motorcycle Jacket,19.99
2011,AAFES,Apparel,,"Ladies' Magic Glove, 3-pk.",4.99
2011,AAFES,Apparel,,Ladies' Pashmina Scarf,4.99
2011,AAFES,Apparel,,Ladies' Plush Socks (Assorted),2.0
2011,AAFES,Apparel,,"Long Sleeve Thermal (Young Mens, Assorted Styles and Colors)",7.0
2011,AAFES,Apparel,,Men's Flannel Shirt (Assorted Colors),5.0
2011,AAFES,Apparel,,Passports Misses' Fashion Vest w/ Faux Fur Collar,9.0
2011,AAFES,Apparel,,Passports Misses' Long Sleeve Holiday Tee,9.0
2011,AAFES,Apparel,,Passports Misses' Long Sleeve Knit Jacket,19.0
2011,AAFES,Apparel,,PBX Basics 5-Pocket Boot Cut Jeans,9.0
2011,AAFES,Apparel,,PBX Basics Boys' or Girls' Puffer Jacket,12.0
2011,AAFES,Apparel,,PBX Basics Boys' Thermal Hang Downs (Assorted Colors),4.0
2011,AAFES,Apparel,,PBX Basics Girls' Long Sleeve Tee (Assorted Colors),4.0
2011,AAFES,Apparel,,PBX Basics Ladies' Polar Fleece,7.0
2011,AAFES,Apparel,,PBX Basics Long Sleeve Tee (Women's 1X-3X),6.0
2011,AAFES,Apparel,,PBX Basics Long Sleeve Tee (Women),5.0
2011,AAFES,Apparel,,PBX Basics Men's Jeans (Straight Leg or 5-Pocket Comfort Fit),12.0
2011,AAFES,Apparel,,PBX Basics Mens' Puffer Jacket,15.0
2011,AAFES,Apparel,,PBX Basics Misses' Boot Cut Jeans (Women's Sizes 16-24),14.0
2011,AAFES,Apparel,,PBX Basics Misss' Boot Cut Jeans,12.0
2011,AAFES,Apparel,,PBX Basics Polar Fleece (Boys),5.0
2011,AAFES,Apparel,,PBX Basics Polar Fleece (Men's Sizes),7.0
2011,AAFES,Apparel,,PBX Basics Polar Fleece (Women's 1X-3X),8.0
2011,AAFES,Apparel,,PBX Basics Polo Shirt (Boys/Girls),6.0
2011,AAFES,Apparel,,PBX Basics Polo Shirt (Women's 1X-3X),10.0
2011,AAFES,Apparel,,PBX Basics Polo Shirts (Men/Women),8.0
2011,AAFES,Apparel,,PBX Basics Thermal Hang Downs (Men),5.0
2011,AAFES,Apparel,,PBX Basics Women's Puffer Jacket,15.0
2011,AAFES,Apparel,,Pony Tails Girls' Knit Top,7.0
2011,AAFES,Apparel,,Pony Tails Girls' Rib Knit Seamless Leggings,4.0
2011,AAFES,Apparel,,Rene Rofe Misses' Bra/Panty Set (Assorted Colors),6.5
2011,AAFES,Apparel,,Rene Rofe Misses' Chemise,8.0
2011,AAFES,Apparel,,Stacy Adams Men's Dress Shoe (Black or Cognac) (Online Only),29.0
2011,AAFES,Apparel,,Totest Puffer Jackets,12.0
2011,AAFES,Apparel,,Two Lips Women's Too Tude Ankle Boot (Online Only),24.95
2011,AAFES,Appliances,,Kenmore 3.1 cu-ft Washer & 5.9 cu-ft Electric Dryer Combo (Online Only),499.0
2011,AAFES,Appliances,,Samsung Energy Efficient 5.4 cu. ft. Capacity Top Load Washer w/ Matching Electric Dryer,649.0
2011,AAFES,Bed & Bathroom,,Bath and Body Gift Set (4-pc),4.99
2011,AAFES,Bed & Bathroom,,Sleepinc. 8'' Queen-Size Memory Foam Mattress,299.0
2011,AAFES,Bed & Bathroom,,Throw (Assorted Colors),6.49
2011,AAFES,Bed & Bathroom,,"Washcloth, 12-pk. (Assorted Colors)",5.0
2011,AAFES,Camcorders,,DXG 720p All-Weather Camcorder (Online Only),49.0
2011,AAFES,Computer Accessories,,Photosmart e-All-in-one Wirelesst Printer,39.95
2011,AAFES,Computer Components,,Instant Immersion Language Learning Levels 1-3 for PC,19.95
2011,AAFES,Computer Components,,Logitech Wireless Desktop Keyboard and Mouse (MK320),19.95
