Year,Store,Category,SubCategory,Item,Price
2013,AAFES-SATURDAY-SALE,Apparel,,1/2-cttw. 10K Diamond Pendant,349.0
2013,AAFES-SATURDAY-SALE,Apparel,,1/5-cttw. 14K Sterling Silver Diamond Pendant,129.0
2013,AAFES-SATURDAY-SALE,Apparel,,1/6-cttw. 10K Diamond Ring,199.0
2013,AAFES-SATURDAY-SALE,Apparel,,1/8-cttw. 14K Diamond Sirena Pendant,179.0
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Green Multi),24.95
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Purple Multi),24.95
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Black Multi),24.95
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Multicolor 6-pc. Pearl Bracelet Set,34.95
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Pearl Multicolor Dangle Earings 2-pr. (Black/Pink Multi),34.95
2013,AAFES-SATURDAY-SALE,Apparel,,Cultured Freshwater Pearl Multicolor Dangle Earrings 2-pr. (Blue/Green Multi),34.95
2013,AAFES-SATURDAY-SALE,Apparel,,CZ Sideways Rose-Gold Plated Sterling Silver Cross Pendant,19.95
2013,AAFES-SATURDAY-SALE,Apparel,,CZ Sideways Sterling Silver Cross Pendant,19.95
2013,AAFES-SATURDAY-SALE,Apparel,,Sterling Silver Diamond Ring (1/4-cttw.),99.0
2013,AAFES-SATURDAY-SALE,Apparel,,Sterling Silver London Blue Topaz Lady Kate Oval Pendant,99.0
2013,AAFES-SATURDAY-SALE,Apparel,,Sterling Silver London Blue Topaz Lady Kate Oval Ring,99.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Boys Novelty Fleece,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Boys Poly Fleece Play Set,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Girls Hello Kitty Bodysuit,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Girls Hello Kitty Tee,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Girls Novelty Fleece,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Newborn/Infant/Toddler Girls Poly Fleece Play Set,5.0
2013,AAFES-SATURDAY-SALE,Apparel,,Izod Mens Woven Lounge Pants (Assorted Styles),8.5
2013,AAFES-SATURDAY-SALE,Apparel,,Nike KO Block Pullover Hoodie (Assorted Colors),35.0
2013,AAFES-SATURDAY-SALE,Apparel,,Armitron Analog/Digital Stainless Steel Sport Watch,29.99
2013,AAFES-SATURDAY-SALE,Apparel,,Michael Kors Misses Velour Zip-Front Jacket,35.0
2013,AAFES-SATURDAY-SALE,Apparel,,Michael Kors Misses' Pull-on Yoga Pants,35.0
2013,AAFES-SATURDAY-SALE,Apparel,,Nike KO Block Pullover Hoodie (Assorted Colors),35.0
2013,AAFES-SATURDAY-SALE,Apparel,,Nike Ladies All Time Big Swoosh Logo Pullover Hoodie (Assorted Colors),35.0
2013,AAFES-SATURDAY-SALE,Apparel,,Tommy Hilfiger Misses' Cable Sweater (Assorted Styles),19.0
2013,AAFES-SATURDAY-SALE,Apparel,,Tommy Hilfiger Misses' Solid or Print Shirt (Assorted Styles),19.0
2013,AAFES-SATURDAY-SALE,Cameras,,Canon PowerShot ELPH115IS 16MP Camera (Blue) Military Bundle w/ Army & Air Force Exhange $15 Gift Card,99.95
2013,AAFES-SATURDAY-SALE,Cameras,,FujiFilm FinePix XP200 16.4MP Camera Bundle w/ Army & Air Force Exhange $30 Gift Card,229.95
2013,AAFES-SATURDAY-SALE,Cameras,,Nikon CoolPix CMOS 18.1MP Digital Camera w/ Army & Air Force Exchange $20 Gift Card,199.95
2013,AAFES-SATURDAY-SALE,Cameras,,Nikon CoolPix P510 18.1MP Digital Camera w/ Army & Air Force Exchange $25 Gift Card,299.95
2013,AAFES-SATURDAY-SALE,Cameras,,Canon EOS Rebel DSLR SL1,649.95
2013,AAFES-SATURDAY-SALE,Cellphones,,Samsung Galaxy S4 AT&T Smartphone w/ 2-yr. Service Agreement (Black),49.99
2013,AAFES-SATURDAY-SALE,Cellphones,,Samsung Galaxy S4 AT&T Smartphone w/ 2-yr. Service Agreement (White),49.99
