Year,Store,Category,SubCategory,Item,Price
2016,AAFES,Apparel,Accessories,Mundi Wallet (Assorted),10.0
2016,AAFES,Apparel,Accessories,Nicole Miller Lisa Crosbody Bag (Assorted Colors),20.0
2016,AAFES,Apparel,Accessories,Relic Cora Black Crossbody Bag,20.0
2016,AAFES,Apparel,Accessories,Relic Cora Cognac Crossbody Bag,20.0
2016,AAFES,Apparel,Jewelry,10K Gold 1-cttw. Diamond Ring,599.0
2016,AAFES,Apparel,Jewelry,10K Gold 1-cttw. Diamond Ring,599.0
2016,AAFES,Apparel,Jewelry,10K Gold 1-cttw. Diamond Ring,599.0
2016,AAFES,Apparel,Jewelry,10K Gold 18-in. 10K Gold Box Chain & 20-in. Singapore Hoop Set,69.0
2016,AAFES,Apparel,Jewelry,10K Gold 3-cttw. Diamond Bracelet,1299.0
2016,AAFES,Apparel,Jewelry,14K Gold 1-cttw. Diamond Earrings,449.0
2016,AAFES,Apparel,Jewelry,14K Gold 1/2-cttw. Diamond Pendant w/ 18-in. Chain,399.0
2016,AAFES,Apparel,Jewelry,14K Gold 1/2-cttw. Diamond Stud Earrings,269.0
2016,AAFES,Apparel,Jewelry,14K Gold 4mm. Ball Stud & 14K Gold 15mm Polished Hoop Set,69.0
2016,AAFES,Apparel,Jewelry,18K Stainless-Steel Plating Bracelet,49.0
2016,AAFES,Apparel,Jewelry,Alex & Ani Rafelian Gold Tone Crystal Snowflake Bangle,23.99
2016,AAFES,Apparel,Jewelry,Alex & Ani Rafelian Silver Tone Crystal Snowflake Bangle,23.99
2016,AAFES,Apparel,Jewelry,Alex & Ani Snowflake Bangle + 20% OFF,23.99
2016,AAFES,Apparel,Jewelry,CZ Pendant & Stud Earrings Set,17.99
2016,AAFES,Apparel,Jewelry,CZ Stud Earrings & Round Pave Disc Earring Set,9.95
2016,AAFES,Apparel,Jewelry,Chamilia Sterling Silver Bead Gift Set,64.99
2016,AAFES,Apparel,Jewelry,Diamond Accent Pendant In Stainless Steel & IP,69.0
2016,AAFES,Apparel,Jewelry,Diamond Accent Pendant w/ 18-in. Chain + Photo Album,49.0
2016,AAFES,Apparel,Jewelry,Gold Crystal Pave Bangle & Earring Set,49.99
2016,AAFES,Apparel,Jewelry,Sterling Silver 6-7-mm. Freshwater Pearl Pendant & Earrings Set,29.95
2016,AAFES,Apparel,Jewelry,Sterling Silver 7-8-mm Pearl Earrings,11.95
2016,AAFES,Apparel,Jewelry,Sterling Silver Amethyst Bolo Bracelet,34.95
2016,AAFES,Apparel,Jewelry,Sterling Silver Blue Topaz Bolo Bracelet,34.95
2016,AAFES,Apparel,Jewelry,Yellow IP Stainless Steel Necklace & Bracelet,59.0
2016,AAFES,Apparel,Men's,Bergamo Mens Boxed Dress Shirt Set (Assorted),19.0
2016,AAFES,Apparel,Men's,Columbia Mens Steens Mountain Vest (Assorted Colors),19.0
2016,AAFES,Apparel,Men's,Hanes Mens 5+2-pk. Bonus Pack Boxer Briefs (Assorted),9.99
2016,AAFES,Apparel,Men's,Hanes Mens 6+2-pk. Bonus Pack Tanks (Assorted),9.99
2016,AAFES,Apparel,Men's,Hanes Mens 6+2-pk. Bonus Pack Tees (Assorted),9.99
2016,AAFES,Apparel,Men's,Kuhl Mens Interceptr Full-Zip Jacket (Assorted Colors),52.0
2016,AAFES,Apparel,Men's,Levi's Mens Charcoal Hoodie,15.0
2016,AAFES,Apparel,Men's,Levi's Mens Olive Hoodie,15.0
2016,AAFES,Apparel,Men's,Levi's Mens White Hoodie,15.0
2016,AAFES,Apparel,Men's,Mens Silver-Tone Nate Chronograph Watch w/ Black Dial,69.0
2016,AAFES,Apparel,Men's,Mens Sky Sole Slippers (Assorted),4.99
2016,AAFES,Apparel,Men's,Mens Two-Tone Stainless Steel Dean Chronograph w/ Rich Brown Leather Strap,69.0
2016,AAFES,Apparel,Men's,Nike Mens Therma Logo Hoodie (Assorted Colors),35.0
2016,AAFES,Apparel,Men's,Nike Mens Therma Logo Pants,35.0
2016,AAFES,Apparel,Men's,Perry Ellis Mens Robes (Assorted),17.0
2016,AAFES,Apparel,Men's,Stainless Steel & Black IP 1/10-cttw. Black Diamond Bracelet,39.0
2016,AAFES,Apparel,Men's,Tartan Mens 5+2-pk. Boxer Briefs (Assorted),9.99
2016,AAFES,Apparel,Men's,The North Face Mens Gordon Lyons Full-Zip Hoodie (Assorted Colors),49.0
2016,AAFES,Apparel,Men's,Under Armour HeatGear Mens Black Crew Socks (3-pk.),9.99
2016,AAFES,Apparel,Men's,Under Armour HeatGear Mens Black No Show Ankle Socks (3-pk.),9.99
2016,AAFES,Apparel,Men's,Under Armour HeatGear Mens White No Show Ankle Socks (3-pk.),9.99
2016,AAFES,Apparel,Men's,Under Armour Mens Apparel (Assorted Colors),35.0
2016,AAFES,Apparel,Men's,Under Armour Mens Black ColdGear Base Layer Crew Top,35.0
2016,AAFES,Apparel,Men's,Under Armour Mens ColdGear Leggings,35.0
2016,AAFES,Apparel,Men's,Under Armour Mens Fleece 1/4 Zip Hoodie (Assorted Colors),35.0
2016,AAFES,Apparel,Men's,Under Armour Mens Pants (Assorted Colors),35.0
2016,AAFES,Apparel,Men's,Under Armour Mens Twist Hoodie (Assorted Colors),35.0
2016,AAFES,Apparel,Men's,Under Armour Mens White Crew Socks (3-pk.),9.99
2016,AAFES,Apparel,Shoes,Girls Courtland Boots (Assorted Colors),18.0
2016,AAFES,Apparel,Shoes,Girls Morgan Boots (Assorted Colors),18.0
2016,AAFES,Apparel,Shoes,Girls Rachel Boots (Assorted Colors),18.0
2016,AAFES,Apparel,Shoes,Girls Wyoming Boots (Assorted Colors),18.0
2016,AAFES,Apparel,Shoes,Lil' Courtland Neoprene Toddler Girls Riding Boots,16.0
2016,AAFES,Apparel,Shoes,Marc Pico Brandi Rhinestone Block Heel Brown Womens Booties,20.0
2016,AAFES,Apparel,Shoes,Marc Pico Gloria Back Zipping Black Riding Womens Boots,20.0
2016,AAFES,Apparel,Shoes,Marc Pico Rock & Candy Fur Cuff Black Womens Booties,20.0
2016,AAFES,Apparel,Shoes,Marc Pico Rock & Candy Fur Cuff Brown Womens Booties,20.0
2016,AAFES,Apparel,Shoes,Marc Pico Womens Boots (Assorted Styles),20.0
