store,count,mean,std
AAFES,280,78.38,171.84
AC-MOORE,68,15.78,27.79
ACADEMY-SPORTS,287,54.17,78.77
ACE-HARDWARE,40,21.24,24.44
AMAZON,2,114.0,49.5
APPLE-STORE,15,70.2,38.72
BASS-PRO-SHOPS,123,115.28,205.94
BEALLS,214,19.11,11.81
BEST-BUY,495,182.95,339.41
BIG-LOTS,107,52.83,77.45
BJS-WHOLESALE,52,306.08,353.41
CABELAS,311,97.67,138.63
CAMPMOR,239,81.63,82.32
COSTCO,28,376.56,467.3
DELL,20,472.29,217.07
DICKS-SPORTING-GOODS,148,143.67,157.81
FREDMEYER,145,48.31,89.01
FREDS,74,19.43,22.04
GAMESTOP,151,45.22,59.1
GANDER-MOUNTAIN,277,122.69,184.95
GORDMANS,155,11.8,10.9
GUITAR-CENTER,28,126.53,111.34
HARBOR-FREIGHT,25,35.94,38.93
HASTINGS,148,44.35,62.79
HHGREGG,172,361.38,406.43
HHGREGG-EARLY-SALE,116,484.95,467.18
HOME-DEPOT,19,152.62,312.02
JCPENNEY,610,80.3,230.15
JOANN-FABRICS,53,53.78,106.91
KMART,686,41.17,73.7
KMART-TG,200,45.46,73.75
KOHLS,588,77.43,366.8
LOWES,212,158.55,293.69
LOWES-EARLY-SALE,28,732.96,468.23
MACYS,653,215.13,363.43
MARINE-CORPS-EXCHANGE,127,116.82,239.83
MEIJER,205,43.67,69.86
MEIJER-THANKSGIVING-2011,142,35.57,70.78
MENARDS,251,33.72,95.47
MICHAELS,48,18.75,35.64
MODELLS,48,31.01,27.51
NAVY-EXCHANGE,175,104.89,187.42
NEWEGG,7,203.57,130.5
NORTHERN-TOOL,147,85.49,181.07
OFFICE-DEPOT,122,83.23,92.5
OFFICE-MAX,135,118.75,132.15
OLD-NAVY,41,10.83,6.7
OLYMPIA-SPORTS,51,38.67,17.93
PACSUN,4,16.25,4.79
PEPBOYS,53,102.62,142.16
PET-SMART,19,22.76,22.71
RADIOSHACK,120,65.89,82.39
RITE-AID,58,12.34,14.38
SAMS-CLUB,44,218.89,252.38
SEARS,869,220.44,390.84
SEARS-HARDWARE,212,220.46,315.03
SEARS-OUTLET,45,104.87,165.57
SHOPKO,506,49.65,91.2
SPORTS-AUTHORITY,273,135.51,151.57
STAPLES,177,126.28,156.0
TARGET,295,45.26,87.83
TIGER-DIRECT,296,277.41,344.77
TOYS-R-US,448,37.83,70.29
TRACTOR-SUPPLY,102,135.39,286.62
TRUE-VALUE,26,22.56,19.87
WALGREENS,107,26.04,69.48
WALMART,420,48.18,113.21
