Store,Category,Item,Early Bird,Rebate,Price
AAFES-Saturday-Sale,Computer Accessories >> Mouse,Digital Innovations All Terrain Wireless 3-Button Travel Mouse,,,$14.99
AAFES-Saturday-Sale,Computer Accessories >> Printers,HP Photosmart E-All-in-One Wireless Printer,,,$79.99
AAFES-Saturday-Sale,Computers >> Laptops,"HP Pavillion 10"" Notebook w/ AMD A4-1200, 2GB RAM, 320GB HDD (10-E010NR)",,,$299.00
AAFES-Saturday-Sale,Electronics,GAEMS G155 Sentry Personal Gaming Environment,,,$199.95
AAFES-Saturday-Sale,Electronics,iHome Executive Space-Saver Wireless Workstation,,,$49.99
AAFES-Saturday-Sale,Electronics >> Cables,Patrionics 3-ft. Swivel HDMI Cable,,,$6.75
AAFES-Saturday-Sale,Electronics >> Headphones,Sony Earbuds,,,50% OFF
AAFES-Saturday-Sale,Electronics >> Headphones,Sony Headphones,,,50% OFF
AAFES-Saturday-Sale,Electronics >> Tablets,"Samsung 10"" Galaxy Tablet w/ Android 4.2, 16GB Storage (GTTP521QZWYXAR)",,,$299.00
AAFES-Saturday-Sale,Electronics >> Tablets,"Trio 8"" Stealth Tablet w/ Dual-Core ARM Cortex 9, 1GB Storage (G2-8)",,,$99.00
AAFES-Saturday-Sale,Food,Godiva Ballotin Box (19-pcs.),,,$24.00
AAFES-Saturday-Sale,Food,Godiva Premium Truffle Chocolate Bar w/ Purchase of Godiva Ballotin Box,,,FREE
AAFES-Saturday-Sale,Food,Hershey's Holiday Candy (Assorted),,,3 for $9.99
AAFES-Saturday-Sale,Food,King Size Reese's Peanut Butter Trees w/ Purchase of 3 Bags,,,FREE
AAFES-Saturday-Sale,Food,Popeyes Combo Meal w/ Purchase of a Combo Meal,,,50% OFF
AAFES-Saturday-Sale,Food,Salad Wednesday,,,$2 OFF
AAFES-Saturday-Sale,Holiday Items,2-ft.Pre-lit Alberta Pine Tree Set,,,$49.99
AAFES-Saturday-Sale,Holiday Items,3-ft.Pre-lit Alberta Pine Tree Set,,,$49.99
AAFES-Saturday-Sale,Holiday Items,4-ft. Pre-lit Alberta Pine Tree Set,,,$49.99
AAFES-Saturday-Sale,Holiday Items,6-ft. Pull-up Pre-Decorated Pre-Lit Tree (Gold),,,$89.99
AAFES-Saturday-Sale,Holiday Items,6-ft. Pull-up Pre-Decorated Pre-Lit Tree (Red),,,$89.99
AAFES-Saturday-Sale,Holiday Items,7.5-ft. Pre-Lit Narrow Alberta Pine Tree,,,$79.99
AAFES-Saturday-Sale,Holiday Items,7.5ft. Non-Lit Sheared Royal Spruce Tree,,,$69.99
AAFES-Saturday-Sale,Holiday Items,Adidas Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Holiday Items,Christmas Gift Bags (Assorted),,,$0.99 - $3.99
AAFES-Saturday-Sale,Holiday Items,Faith Hill Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Holiday Items,Shatterproof Ornaments 25-ct. 70mm (Assorted Colors),,,$4.99
AAFES-Saturday-Sale,Holiday Items,Shatterproof Ornaments 41-ct. 60mm (Assorted Colors),,,$4.99
AAFES-Saturday-Sale,Holiday Items,Stetson Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Home Items,Crib Mattresses,,,20% OFF
AAFES-Saturday-Sale,Home Items,Dyson Vacuum Cleaners,,,25% OFF
AAFES-Saturday-Sale,Home Items,Hoover Power Scrub Deluxe Carpet Washer,,,$129.99
