Year,Store,Category,SubCategory,Item,Price
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Crock-Pot Cook & Carry 4-qt. Slow Cooker,19.99
2014,AAFES-SATURDAY-SALE,Video Games,Xbox 360,Thief (X360),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Bracelet,89.0
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Earrings,34.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Aroma 6-Cup Rice Cooker & Steamer,9.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Pendant,49.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver Diamond Accent Pendant,39.0
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Tomb Raider Definitive Edition (PS4),19.95
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Tomb Raider Definitive Edition (XONE),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver 1/3-ct. tw. Diamond Hoop Earrings,149.0
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Dead Rising 3 (XONE),29.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver 1/5-ct. tw. Diamond Heart Studs,99.0
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Ryse (XONE),29.95
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Forza Motorsport 5 (XONE),29.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,CZ & Sterling Silver Multi-Earring Set,12.99
2014,AAFES-SATURDAY-SALE,Video Games,Playstation 3,South Park: The Stick Of Truth (PS3),29.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Oster 10 x 16-in. Griddle,19.99
2014,AAFES-SATURDAY-SALE,Video Games,Xbox 360,South Park: The Stick Of Truth (X360),29.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Mr. Coffee 4-Cup Coffee Maker,9.99
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Kinect Sports Rivals (XONE),29.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver Dancing CZ Infinity Pendant,14.99
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Wolfenstein (PS4),29.95
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Wolfenstein (XONE),29.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial Sterling Silver 6.5-7mm Cultured Freshwater Pearl Stretch Bracelet,29.95
2014,AAFES-SATURDAY-SALE,Video Games,Accessories,Playstation 4 DualShock 4 Controller,39.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial Sterling Silver 6.5-7mm Cultured Freshwater Pearl Necklace Strand,49.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Proctor Silex 1.7-L. Cordless Kettle,14.99
2014,AAFES-SATURDAY-SALE,Video Games,Accessories,PlayStation 4 Camera,39.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial Sterling Silver 4-pc. Box Set,49.95
2014,AAFES-SATURDAY-SALE,Video Games,Accessories,Xbox One Wireless Controller,49.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Proctor Silex Black Toaster Oven,14.99
2014,AAFES-SATURDAY-SALE,Cellphones,Android,AT&T LG G3 Phone w/ 2-yr. Activation,0.01
2014,AAFES-SATURDAY-SALE,Home Items,,Cannon Patriot Series P22 Safe,789.0
2014,AAFES-SATURDAY-SALE,Apparel,Accessories,Gargoyles Mens ANSI Z87 High Impact Sunglasses (Black Smoke),29.99
2014,AAFES-SATURDAY-SALE,Cellphones,Android,Verizon LG G3 Phone,0.01
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial 6-7mm Cultured Freshwater 3-pc. Pearl Bracelets,29.95
2014,AAFES-SATURDAY-SALE,Electronics,,Midland 2-Way GMRS Radios w/ 50 Channels,44.99
2014,AAFES-SATURDAY-SALE,Personal Care,,Conair Infinity Pro Hair Dryer,14.99
2014,AAFES-SATURDAY-SALE,Food,,Hershey's Giant Kisses Candy (7-oz.),3.99
2014,AAFES-SATURDAY-SALE,Tools,,Craftsman 2-pc. Tool Chest,99.0
2014,AAFES-SATURDAY-SALE,Personal Care,,Conair Infinity You Curl Conical Curling Iron,14.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial Sterling Silver 7-8mm Cultured Freshwater Pearl Fishhook 4-Pair Earring Set,34.95
2014,AAFES-SATURDAY-SALE,Personal Care,,Andis Styliner Cordless Shave & Trim Kit,7.99
2014,AAFES-SATURDAY-SALE,Personal Care,,Sonicare Power Up Electric Toothbrush (Blue),9.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Imperial 6-7mm Dyed Multicolor Cultured Freshwater Pearl & 8mm Crystal Ball 3-pc. Stretch Bracelet Set,29.95
2014,AAFES-SATURDAY-SALE,Home Items,,Hoover Sprint Windtunnel Air Bagless Vacuum,79.99
2014,AAFES-SATURDAY-SALE,Home Items,,Hoover Power Scrub Deluxe Carpet Washer,99.99
2014,AAFES-SATURDAY-SALE,Home Items,,Wiselink Ceramic Heater,21.99
2014,AAFES-SATURDAY-SALE,Home Items,,DeLonghi Fan Heater,25.99
2014,AAFES-SATURDAY-SALE,Electronics,,Aurora Portable Gas Locking-Lid Fire Pit,59.99
2014,AAFES-SATURDAY-SALE,Pet,,Smartscoop Automatic Cat Litter Box,74.99
2014,AAFES-SATURDAY-SALE,Food,,Cast Iron Skillet Set (Assorted),7.99
2014,AAFES-SATURDAY-SALE,Food,,Reeses Cast Iron Skillet Set,7.99
2014,AAFES-SATURDAY-SALE,Food,,Hershey's Cast Iron Skillet Set,7.99
2014,AAFES-SATURDAY-SALE,Automobile,,Prestone 50/50 Prediluted Antifreeze Coolant,7.99
2014,AAFES-SATURDAY-SALE,Automobile,,Prestone Extended Life Antifreeze Coolant,9.99
2014,AAFES-SATURDAY-SALE,Personal Care,,Sonicare Power Up Electric Toothbrush (Orange),9.99
